model,prompt_id,temperature,json_valid
llama3.2:1b,1,0,1
llama3.2:1b,2,0,1
llama3.2:1b,3,0,1
llama3.2:1b,4,0,1
llama3.2:1b,5,0,1
llama3.2:1b,6,0,1
llama3.2:1b,7,0,1
llama3.2:1b,8,0,1
llama3.2:1b,9,0,1
llama3.2:1b,10,0,1
llama3.2:1b,11,0,1
llama3.2:1b,12,0,1
llama3.2:1b,13,0,1
llama3.2:1b,14,0,1
llama3.2:1b,15,0,1
llama3.2:1b,16,0,1
llama3.2:1b,17,0,1
llama3.2:1b,18,0,1
llama3.2:1b,19,0,1
llama3.2:1b,20,0,1
llama3.2:1b,21,0,1
llama3.2:1b,22,0,1
llama3.2:1b,23,0,1
llama3.2:1b,24,0,1
llama3.2:1b,25,0,1
llama3.2:1b,26,0,1
llama3.2:1b,27,0,1
llama3.2:1b,28,0,1
llama3.2:1b,29,0,1
llama3.2:1b,30,0,1
llama3.2:1b,1,0.7,1
llama3.2:1b,2,0.7,1
llama3.2:1b,3,0.7,1
llama3.2:1b,4,0.7,1
llama3.2:1b,5,0.7,1
llama3.2:1b,6,0.7,1
llama3.2:1b,7,0.7,1
llama3.2:1b,8,0.7,1
llama3.2:1b,9,0.7,1
llama3.2:1b,10,0.7,1
llama3.2:1b,11,0.7,1
llama3.2:1b,12,0.7,1
llama3.2:1b,13,0.7,1
llama3.2:1b,14,0.7,1
llama3.2:1b,15,0.7,1
llama3.2:1b,16,0.7,1
llama3.2:1b,17,0.7,1
llama3.2:1b,18,0.7,1
llama3.2:1b,19,0.7,1
llama3.2:1b,20,0.7,1
llama3.2:1b,21,0.7,1
llama3.2:1b,22,0.7,1
llama3.2:1b,23,0.7,1
llama3.2:1b,24,0.7,1
llama3.2:1b,25,0.7,1
llama3.2:1b,26,0.7,1
llama3.2:1b,27,0.7,1
llama3.2:1b,28,0.7,1
llama3.2:1b,29,0.7,1
llama3.2:1b,30,0.7,1
phi3,1,0,0
phi3,2,0,0
phi3,3,0,0
phi3,4,0,0
phi3,5,0,0
phi3,6,0,0
phi3,7,0,0
phi3,8,0,0
phi3,9,0,0
phi3,10,0,0
phi3,11,0,0
phi3,12,0,0
phi3,13,0,0
phi3,14,0,0
phi3,15,0,0
phi3,16,0,0
phi3,17,0,0
phi3,18,0,0
phi3,19,0,0
phi3,20,0,0
phi3,21,0,0
phi3,22,0,0
phi3,23,0,0
phi3,24,0,0
phi3,25,0,0
phi3,26,0,0
phi3,27,0,0
phi3,28,0,0
phi3,29,0,0
phi3,30,0,0
phi3,1,0.7,0
phi3,2,0.7,0
phi3,3,0.7,0
phi3,4,0.7,0
phi3,5,0.7,0
phi3,6,0.7,0
phi3,7,0.7,0
phi3,8,0.7,0
phi3,9,0.7,0
phi3,10,0.7,0
phi3,11,0.7,0
phi3,12,0.7,0
phi3,13,0.7,0
phi3,14,0.7,0
phi3,15,0.7,0
phi3,16,0.7,0
phi3,17,0.7,0
phi3,18,0.7,0
phi3,19,0.7,0
phi3,20,0.7,0
phi3,21,0.7,0
phi3,22,0.7,0
phi3,23,0.7,0
phi3,24,0.7,0
phi3,25,0.7,0
phi3,26,0.7,0
phi3,27,0.7,0
phi3,28,0.7,0
phi3,29,0.7,0
phi3,30,0.7,0
mistral,1,0,1
mistral,2,0,1
mistral,3,0,1
mistral,4,0,1
mistral,5,0,1
mistral,6,0,1
mistral,7,0,1
mistral,8,0,1
mistral,9,0,1
mistral,10,0,1
mistral,11,0,1
mistral,12,0,1
mistral,13,0,1
mistral,14,0,1
mistral,15,0,1
mistral,16,0,1
mistral,17,0,1
mistral,18,0,1
mistral,19,0,1
mistral,20,0,1
mistral,21,0,1
mistral,22,0,1
mistral,23,0,1
mistral,24,0,1
mistral,25,0,1
mistral,26,0,1
mistral,27,0,1
mistral,28,0,1
mistral,29,0,1
mistral,30,0,1
mistral,1,0.7,1
mistral,2,0.7,1
mistral,3,0.7,1
mistral,4,0.7,1
mistral,5,0.7,1
mistral,6,0.7,1
mistral,7,0.7,1
mistral,8,0.7,1
mistral,9,0.7,1
mistral,10,0.7,1
mistral,11,0.7,1
mistral,12,0.7,1
mistral,13,0.7,1
mistral,14,0.7,1
mistral,15,0.7,1
mistral,16,0.7,1
mistral,17,0.7,1
mistral,18,0.7,1
mistral,19,0.7,1
mistral,20,0.7,1
mistral,21,0.7,1
mistral,22,0.7,1
mistral,23,0.7,1
mistral,24,0.7,1
mistral,25,0.7,1
mistral,26,0.7,1
mistral,27,0.7,1
mistral,28,0.7,1
mistral,29,0.7,1
mistral,30,0.7,1
llama3.1:8b,1,0,1
llama3.1:8b,2,0,1
llama3.1:8b,3,0,1
llama3.1:8b,4,0,1
llama3.1:8b,5,0,1
llama3.1:8b,6,0,1
llama3.1:8b,7,0,1
llama3.1:8b,8,0,1
llama3.1:8b,9,0,1
llama3.1:8b,10,0,1
llama3.1:8b,11,0,1
llama3.1:8b,12,0,1
llama3.1:8b,13,0,1
llama3.1:8b,14,0,1
llama3.1:8b,15,0,1
llama3.1:8b,16,0,1
llama3.1:8b,17,0,1
llama3.1:8b,18,0,1
llama3.1:8b,19,0,1
llama3.1:8b,20,0,1
